id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Resort;property_type_Villa;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10020375;1002037501;Experience Call Jueu . Cúndaro apartments;2.400813754393675;0.7510543430706119;0.5;0.0;5.476505838134192;0.2631578947368421;0.08000000000000002;-0.16666666666666663;1.3661357684877857;11.057685084607085;10.102655796780263;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1002159;100215908;Apartamentos Bahia;0.30154207483627654;-0.7837101942284085;-0.5;0.0;1.5066448866345399;-0.631578947368421;-0.7200000000000001;0.33333333333333337;0.0;0.4236578020444186;-0.27038810773896305;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10023077;1002307701;Monolocale;-0.6449763468214421;-0.3860950219713921;0.0;0.0;-0.24898503266782324;-0.10526315789473684;0.22736842105263153;0.33333333333333337;0.0;-0.4600701614809823;-0.4993688648459277;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10023811;1002381101;Apartamento acogedor y moderno en pleno centro de Sevilla con Parking Gratis;-0.4574462453274397;0.8228409330912098;0.5;1.0;-0.6037735135527941;0.39473684210526316;0.03789473684210523;0.33333333333333337;0.0;-0.3452700838129273;0.2095223333309242;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1002715;100271504;El Rincón de los Riveros;-0.8146629343438475;-0.4387327201692451;-0.5;-1.0;-0.33426615760764217;-0.18421052631578946;-0.7200000000000001;-0.6666666666666666;0.970702589637727;-0.6334612625742831;-0.8322989345498419;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10027272;1002727201;Apartamento Alcázar San Basilio;-0.619464753222866;0.3199688758869288;0.0;0.0;-0.5240621869567041;1.3157894736842106;-0.16615384615384615;0.33333333333333337;5.823592304897622;-0.4457075085921154;0.07546985211866572;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10027449;1002744901;SANTA CRUZ SUITE Jardín con vistas Mijas Costa;1.2848283669731047;0.3199688758869288;0.0;0.0;1.9216308378711342;1.3157894736842106;-0.16615384615384615;0.33333333333333337;0.0;2.8769809772600494;1.89551202690637;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10028240;1002824002;Casa Rural El Hollejo;0.4916441610490156;1.1334572326782753;1.0;1.0;-0.24505850305764623;0.0;0.18000000000000005;0.0;0.0;0.37129639633626815;1.8975124207234577;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10028284;1002828401;Precioso Apartamento cerca de la Puerta Del Sol;0.39526837033914597;-0.052637698197853605;0.0;0.0;0.5990414064722352;0.47368421052631576;0.014693877551020335;0.33333333333333337;0.0;0.5665560837443552;1.6667386124492074;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10029109;1002910901;Rosario17 by 7Escalones;0.8414635302495264;0.41797512586888996;0.5;0.0;0.7549732958405714;-0.2631578947368421;0.30857142857142855;-0.16666666666666663;0.8564018834324727;1.4687612967749544;1.3830643028588647;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
