id;room_id;name;log_price;log_sqm;num_rooms;num_bathrooms;price_per_sqm;sqm_per_room;rooms_per_sqm;baths_per_room;discount_pct;price_relative_to_type;price_relative_to_province;has_stars;pool_flag;beach_flag;breakfast;cancellation;property_type_Agroturismo;property_type_Albergue;property_type_Apartahotel;property_type_Apartamento;property_type_Barco;property_type_Bed and breakfast;property_type_Camping;property_type_Camping resort;property_type_Casa o chalet;property_type_Casa rural;property_type_Chalet de montaña;property_type_Habitación en casa particular;property_type_Hostal o pensión;property_type_Hotel;property_type_Lodge;property_type_Love hotel;property_type_Posada u hostería;property_type_Resort;property_type_Villa;region_ ;region_Andalucía;region_Aragón;region_Canary Islands;region_Cantabria;region_Castilla y León;region_Castilla-La Mancha;region_Cataluña;region_Ceuta;region_Comunidad Foral de Navarra;region_Comunidad Valenciana;region_Comunidad de Madrid;region_Extremadura;region_Galicia;region_Islas Baleares;region_La Rioja;region_Melilla;region_País Vasco;region_Principado de Asturias;region_Región de Murcia
10003913;1000391303;Checkin Madrid Móstoles;0.1882701486183968;-1.0037836100963358;-0.5;-1.0;1.7545237923764243;-0.6666666666666666;-0.7000000000000001;-0.9999999999999999;0.0;0.3308327751374224;0.6494419486195089;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004132;1000413201;Hostal Restaurante Ainoa;-1.0272386465113552;-0.5866464953622921;-0.5;-1.0;-0.43488753761587545;-0.08333333333333333;-0.7000000000000001;-0.9999999999999999;0.0;-0.6931734336212657;-0.7812779151212776;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004244;1000424401;Apartamento con piscina en 1ª línea Golf La Quinta;0.9355261799269238;0.8081484278346299;0.5;0.0;0.24224576648361304;0.8333333333333334;-0.06363636363636369;-0.24999999999999992;0.4107228378789204;1.5629053418900742;0.9251039754310288;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004719;1000471901;Precioso Apartamento Costa Azahar 2 Marina D or;0.3469941445311244;0.20492857591956204;0.5;0.0;0.1648060419309894;-0.2777777777777778;0.3;-0.24999999999999992;0.0;0.4449016874615921;0.24529878309333478;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10004975;1000497502;LPA Urban stay;-1.3660495936903942;0.20492857591956204;-0.5;-1.0;-0.8757364856332952;1.6666666666666667;-0.7000000000000001;-0.9999999999999999;0.0;-0.5664891601622798;-0.8612818201510523;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005582;1000558201;VILLA ALTO DE LOS BALCONES Torrevieja - Orihuela Costa;1.127991379036653;0.2967964739409763;1.0;1.0;1.2846013605731987;-0.8333333333333334;0.7000000000000001;0.0;0.0;-0.27806468288318237;1.3842429654498523;0.0;1.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005593;1000559301;Casa FotoStudi37;0.20145363831708704;0.8676266447572495;0.0;1.0;-0.45920813883495804;4.166666666666667;-0.3956521739130435;2.0;0.0;0.2454632015613271;-0.1862631677848227;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005690;1000569001;Encantador piso al Sur del Sur;-0.22488223705471738;0.20492857591956204;0.5;0.0;-0.36012715073808965;-0.2777777777777778;0.3;-0.24999999999999992;0.0;-0.21334586536904007;-0.4258363067422122;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
10005920;1000592001;VV Valparon Porrua de LLANES;1.3393157692901378;1.2235910927977554;1.0;1.0;0.2977642537864258;0.5555555555555556;0.0;0.0;0.0;-0.08476534102309168;2.3607784518238986;0.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0
10005953;1000595301;Art-Apart Caronte in Riviera del Sol, Mijas Costa;0.22447758457782116;0.4636675449977149;0.5;0.0;-0.18429016236727488;0.1388888888888889;0.12352941176470586;-0.24999999999999992;0.9692307692307692;0.2753707901961539;-0.19412123444607135;1.0;0.0;0.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
