id;room_id;name;if_score;if_anomaly;lof_score;lof_anomaly
10014950;1001495002;Villa Manuel;-0.057153038286373414;1;1.0200386055444859;1
10015208;1001520801;Apartamento Murcia San José D;-0.08021304601916018;1;0.97801030957852;1
10015306;1001530601;The eighth wonder! Views and location;-0.07082447922847585;1;1.147772961057936;1
10015387;1001538701;CasaJulis Chelva;-0.0666128180635458;1;1.0367514508740878;1
10015554;1001555401;Casa Karim;-0.11399859724082956;1;1.1748585964180338;1
10015561;1001556102;Dúplex La Marea;-0.06606626104440788;1;1.2027207678973277;1
10015565;1001556501;Avicena Beach - Mojacar;-0.09436615285638128;1;1.2050605951957727;1
10015576;1001557601;Placeres de Mijas;-0.017657091105763023;1;1.039786807608792;1
10015586;1001558603;A Oliveira;-0.08631449222274068;1;1.1128151265931228;1
10015602;1001560201;The View Apartment - Sea Senses;-0.07022372878675176;1;1.0501563116802806;1
10015899;1001589901;Casa Rosaura;-0.10028760489812188;1;1.1444017357158358;1
10016003;1001600303;Apartamentos Sa Tenassa;-0.0711212023004199;1;1.0217677493144586;1
10016122;1001612201;Apartamento compartido - SOLO EL DORMITORIO ES PRIVADO;-0.007007829025986845;1;1.0123108360814748;1
10016354;1001635401;Two bedrooms apartment in Costa Adeje;-0.10035653213695389;1;1.057352062784143;1
10016387;1001638701;New! Cosy Two Bedroom Apartment by the Beach;-0.10248707633361914;1;1.1794867867681773;1
10016435;1001643502;La Centralita de la Abuela;-0.062428486930623195;1;1.4298755891136745;-1
10016818;1001681801;Casa Cosy;0.0028047174413801113;-1;1.0469708793462265;1
10017161;1001716105;Queen's House Chueca Madrid;-0.019991482236744407;1;1.0206028140272776;1
10017203;1001720301;Magdalena - baskeyrentals;-0.0864817072814828;1;0.9783803974725187;1
10017511;1001751102;Casa Espaciosa en Grifeu cerca de la Playa - ES-228-144;-0.06589060405290192;1;1.02752299504182;1
10018047;1001804701;ALMA DE MALPICA apartamento nuevo en el centro;-0.05999983402075815;1;1.152841407981653;1
10018100;1001810001;El patio de Nervión.;-0.11657002408731376;1;1.0480759353598605;1
10018452;1001845201;La Solariega;-0.048697274380557265;1;1.225395273245162;1
10018596;1001859601;Azul Infinito Mediterráneo;-0.0757749963444127;1;1.00939427816262;1
10018715;1001871501;Casas de A Uriceira;-0.03131233781791559;1;1.5172635591976147;-1
10018910;1001891001;ÁTICO Paraíso Beach con piscina privada;-0.0775657208134693;1;1.2079537037914458;1
