-17.34263932;28.06024358;0.025;26;España
-17.34263932;28.08524358;0.0125;84;España
-17.34263932;28.09774358;0.0125;5;España
-17.33013932;28.09774358;0.0125;17;España
-17.31763932;28.08524358;0.025;1;España
-17.29263932;28.06024358;0.05;6;España
-17.24263932;28.01024358;0.1;51;España
-17.14263932;28.01024358;0.1;66;España
-16.84263932;28.01024358;0.1;96;España
-16.70513932;28.01024358;0.0125;17;España
-16.70513932;28.02274358;0.0125;90;España
-16.73638932;28.04774358;0.00625;6;España
-16.74263932;28.05399358;0.00625;1;España
-16.73638932;28.05399358;0.003125;42;España
-16.73326432;28.05399358;0.003125;15;España
-16.73638932;28.05711858;0.003125;71;España
-16.73326432;28.05711858;0.003125;35;España
-16.73013932;28.04774358;0.00625;52;España
-16.72076432;28.04774358;0.003125;11;España
-16.72388932;28.05086858;0.003125;45;España
-16.72076432;28.05086858;0.003125;57;España
-16.73013932;28.05399358;0.003125;14;España
-16.72701432;28.05399358;0.003125;53;España
-16.73013932;28.05711858;0.003125;48;España
-16.72701432;28.05711858;0.003125;2;España
-16.72388932;28.05399358;0.00625;28;España
-16.71763932;28.03524358;0.0125;59;España
-16.71763932;28.04774358;0.003125;1;España
-16.71451432;28.04774358;0.003125;56;España
-16.71763932;28.05086858;0.003125;33;España
-16.71451432;28.05086858;0.003125;29;España
-16.71138932;28.04774358;0.00625;90;España
-16.71763932;28.05399358;0.00625;23;España
-16.71138932;28.05399358;0.00625;21;España
-16.70513932;28.04774358;0.0125;91;España
-16.69263932;28.01024358;0.025;18;España
-16.66763932;28.01024358;0.0125;8;España
-16.65513932;28.01024358;0.0125;94;España
-16.66763932;28.02274358;0.0125;2;España
-16.65513932;28.02274358;0.0125;3;España
-16.69263932;28.03524358;0.025;4;España
-16.66763932;28.03524358;0.025;10;España
-16.73638932;28.06024358;0.00625;84;España
-16.73638932;28.06649358;0.00625;45;España
-16.73013932;28.06024358;0.0015625;35;España
-16.72857682;28.06024358;0.0015625;28;España
-16.73013932;28.06180608;0.0015625;23;España
-16.72857682;28.06180608;0.0015625;18;España
-16.72701432;28.06024358;0.003125;15;España
-16.73013932;28.06336858;0.003125;58;España
-16.72388932;28.06024358;0.00625;3;España
-16.73013932;28.06649358;0.003125;23;España
-16.72701432;28.06649358;0.003125;3;España
-16.73013932;28.06961858;0.003125;73;España
-16.72388932;28.06649358;0.00625;4;España
-16.73638932;28.07274358;0.003125;5;España
-16.73326432;28.07274358;0.003125;44;España
-16.73638932;28.07586858;0.003125;27;España
-16.73326432;28.07586858;0.003125;24;España
-16.73638932;28.07899358;0.003125;15;España
-16.73326432;28.07899358;0.003125;34;España
-16.73638932;28.08211858;0.003125;6;España
-16.73326432;28.08211858;0.0015625;4;España
-16.73170182;28.08211858;0.0015625;68;España
-16.73326432;28.08368108;0.0015625;27;España
-16.73013932;28.07274358;0.00625;65;España
-16.72388932;28.07274358;0.00625;5;España
-16.73013932;28.07899358;0.00625;93;España
